# total lensed [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
   56       1.545283645463e+03       1.700832325630e-01       1.010879434346e-03      -7.592700840205e-01       1.303554915266e-07       7.087334045388e-04      -1.432410081776e-06 
   57       1.566728447566e+03       1.795905269842e-01       1.047432499719e-03      -1.026470058839e+00       1.297463716728e-07       6.960608639703e-04      -1.520672412789e-06 
   58       1.588401787345e+03       1.893897781939e-01       1.084635309670e-03      -1.307378222964e+00       1.291449045207e-07       6.838759230001e-04      -1.613777438945e-06 
   59       1.610293920013e+03       1.994802642757e-01       1.122487061175e-03      -1.601890837098e+00       1.285491404384e-07       6.721768431740e-04      -1.705585723064e-06 
   60       1.632384953281e+03       2.098609046827e-01       1.160986891791e-03      -1.909869050074e+00       1.279440001028e-07       6.609109270603e-04      -1.788657530301e-06 
   61       1.654654118088e+03       2.205297585967e-01       1.200133993098e-03      -2.231163507149e+00       1.273092818014e-07       6.500051908763e-04      -1.855881256862e-06 
   62       1.677111507219e+03       2.314824038839e-01       1.239927981348e-03      -2.565696744144e+00       1.266543240056e-07       6.394857848881e-04      -1.906264494108e-06 
   63       1.699772320699e+03       2.427131805003e-01       1.280368609948e-03      -2.913397713035e+00       1.259939854945e-07       6.293869924722e-04      -1.940884012865e-06 
   64       1.722647224218e+03       2.542156311081e-01       1.321455666399e-03      -3.274177749103e+00       1.253382426387e-07       6.197140077258e-04      -1.961361519402e-06 
   65       1.745742003514e+03       2.659824785449e-01       1.363188975651e-03      -3.647930446667e+00       1.246909812980e-07       6.104392002902e-04      -1.969915372139e-06 
   66       1.769057218761e+03       2.780056032919e-01       1.405568403464e-03      -4.034531534825e+00       1.240486871626e-07       6.014982363818e-04      -1.969414035682e-06 
   67       1.792587858960e+03       2.902760209435e-01       1.448593859762e-03      -4.433838753189e+00       1.233990313001e-07       5.927860560304e-04      -1.963431272202e-06 
   68       1.816327936291e+03       3.027847430643e-01       1.492265362971e-03      -4.845698061165e+00       1.227269831821e-07       5.841925274227e-04      -1.955510825880e-06 
   69       1.840286122765e+03       3.155256126818e-01       1.536583240657e-03      -5.269964004571e+00       1.220397294779e-07       5.757317565212e-04      -1.946566694520e-06 
   70       1.864472675654e+03       3.284930055029e-01       1.581547975758e-03      -5.706483271560e+00       1.213489426458e-07       5.674443404645e-04      -1.936799604068e-06 
   71       1.888894562523e+03       3.416809974219e-01       1.627160154035e-03      -6.155088761263e+00       1.206633741843e-07       5.593594806345e-04      -1.926421440319e-06 
   72       1.913555241958e+03       3.550833645819e-01       1.673420468987e-03      -6.615599621506e+00       1.199881798623e-07       5.514934747439e-04      -1.915654789715e-06 
   73       1.938454444295e+03       3.686935834369e-01       1.720329726769e-03      -7.087821286531e+00       1.193241934222e-07       5.438481543398e-04      -1.904732442640e-06 
   74       1.963587952349e+03       3.825048308137e-01       1.767888851107e-03      -7.571545514718e+00       1.186671472680e-07       5.364092677239e-04      -1.893896859246e-06 
   75       1.988947382146e+03       3.965099839736e-01       1.816098888218e-03      -8.066550426302e+00       1.180068386530e-07       5.291448082885e-04      -1.883399597783e-06 
   76       2.014524448258e+03       4.107012268360e-01       1.864960959178e-03      -8.572596826376e+00       1.173316402898e-07       5.220194200497e-04      -1.873501965428e-06 
   77       2.040325142486e+03       4.250687856105e-01       1.914476096143e-03      -9.089416316411e+00       1.166460580779e-07       5.150461397720e-04      -1.864478552068e-06 
   78       2.066357754368e+03       4.396019616423e-01       1.964645385056e-03      -9.616721073271e+00       1.159578621401e-07       5.082455919614e-04      -1.856613502454e-06 
   79       2.092628490700e+03       4.542894969123e-01       2.015470019324e-03      -1.015420733378e+01       1.152728624403e-07       5.016302179380e-04      -1.850198710419e-06 
   80       2.119141348225e+03       4.691195660230e-01       2.066951303653e-03      -1.070155535625e+01       1.145945157506e-07       4.952033755513e-04      -1.845533141354e-06 
   81       2.145897986319e+03       4.840797681843e-01       2.119090657890e-03      -1.125842938208e+01       1.139235058750e-07       4.889584102568e-04      -1.842922119227e-06 
   82       2.172897599688e+03       4.991571191994e-01       2.171889620863e-03      -1.182447759722e+01       1.132572964391e-07       4.828776975542e-04      -1.842676578132e-06 
   83       2.200136791051e+03       5.143380434510e-01       2.225349854218e-03      -1.239933209381e+01       1.125896555538e-07       4.769316567869e-04      -1.845112278396e-06 
   84       2.227611701901e+03       5.296088566323e-01       2.279473118634e-03      -1.298261422341e+01       1.119136485711e-07       4.710897344106e-04      -1.850455465879e-06 
   85       2.255325089487e+03       5.449573234440e-01       2.334261189517e-03      -1.357395176097e+01       1.112329431639e-07       4.653588031914e-04      -1.858534574336e-06 
   86       2.283280195080e+03       5.603713446378e-01       2.389715934303e-03      -1.417296452901e+01       1.105532762338e-07       4.597524058441e-04      -1.869010714181e-06 
   87       2.311478502182e+03       5.758384894612e-01       2.445839342167e-03      -1.477925931028e+01       1.098790513059e-07       4.542791074070e-04      -1.881458956177e-06 
   88       2.339919647165e+03       5.913459958913e-01       2.502633527402e-03      -1.539242989989e+01       1.092130989278e-07       4.489419994432e-04      -1.895362431581e-06 
   89       2.368601329913e+03       6.068807708684e-01       2.560100732790e-03      -1.601205715751e+01       1.085564223275e-07       4.437381899227e-04      -1.910106285224e-06 
   90       2.397519224460e+03       6.224293905298e-01       2.618243332976e-03      -1.663770905952e+01       1.079079279864e-07       4.386582787838e-04      -1.924971481524e-06 
   91       2.426666889632e+03       6.379781004435e-01       2.677063837850e-03      -1.726894075114e+01       1.072641407793e-07       4.336858191752e-04      -1.939128463429e-06 
   92       2.456035679690e+03       6.535128158420e-01       2.736564895913e-03      -1.790529459865e+01       1.066189033390e-07       4.287967643778e-04      -1.951630664299e-06 
   93       2.485617365951e+03       6.690193394445e-01       2.796749353566e-03      -1.854630610610e+01       1.059659111554e-07       4.239679386414e-04      -1.961624005901e-06 
   94       2.515412646793e+03       6.844840518908e-01       2.857620435815e-03      -1.919152257008e+01       1.053079267630e-07       4.192059151141e-04      -1.969044590809e-06 
   95       2.545423758296e+03       6.998933260639e-01       2.919181599107e-03      -1.984048734011e+01       1.046497178094e-07       4.145235780342e-04      -1.974065553094e-06 
   96       2.575651825852e+03       7.152333219317e-01       2.981436481934e-03      -2.049273433499e+01       1.039953193462e-07       4.099314219950e-04      -1.976896515073e-06 
   97       2.606096812019e+03       7.304899897669e-01       3.044388908977e-03      -2.114778817547e+01       1.033479044926e-07       4.054373153949e-04      -1.977785645235e-06 
   98       2.636757464376e+03       7.456490733684e-01       3.108042895246e-03      -2.180516431687e+01       1.027096477549e-07       4.010462575287e-04      -1.977021759480e-06 
