    2       1.012662626501e+03       3.104228349268e-02       1.857753146945e-06       2.665450404017e+00       5.053670751861e-08       2.994517358824e-03      -1.238838817708e-05 
    3       9.525171845011e+02       3.976849598666e-02       3.716210479715e-06       2.999060044250e+00       6.202528980565e-08       2.937323460083e-03      -1.328685654132e-05 
    4       9.002113322990e+02       3.449053162538e-02       6.195234970555e-06       2.792484851901e+00       7.155425664352e-08       2.834312199277e-03      -1.128174905092e-05 
    5       8.623406403162e+02       2.309753528655e-02       9.295726917640e-06       2.364192351296e+00       7.981937453885e-08       2.716815839041e-03      -7.759654450543e-06 
    6       8.369740962524e+02       1.295088208726e-02       1.301877939340e-05       1.892114054681e+00       8.701923324695e-08       2.597099388593e-03      -3.884906237497e-06 
    7       8.212697954308e+02       6.982004866777e-03       1.736565814944e-05       1.476552321126e+00       9.335498146099e-08       2.482067894641e-03      -5.620000247300e-07 
    8       8.124370420477e+02       4.471897978719e-03       2.233777887432e-05       1.160069248204e+00       9.897130526951e-08       2.373600097610e-03       1.663372019555e-06 
    9       8.087380220735e+02       3.581104700189e-03       2.793668247132e-05       9.505523565974e-01       1.039685990142e-07       2.271235884920e-03       2.620516337922e-06 
   10       8.087907528403e+02       3.067651839686e-03       3.416400907029e-05       8.363600065847e-01       1.084274481011e-07       2.175906168441e-03       2.463070299489e-06 
   11       8.117178245227e+02       2.598231400252e-03       4.102147151113e-05       7.965046264330e-01       1.112558366222e-07       2.112516795761e-03       1.571627349342e-06 
   12       8.171495940262e+02       2.278494386673e-03       4.851082903321e-05       8.075969333867e-01       1.148507302867e-07       2.030216360288e-03       3.797257394384e-07 
   13       8.241996007060e+02       2.193150775229e-03       5.663386187773e-05       8.485198877063e-01       1.180650821452e-07       1.955441020929e-03      -7.021341605072e-07 
   14       8.323252669936e+02       2.287883889113e-03       6.539234745810e-05       9.040444659468e-01       1.209422460785e-07       1.877788741316e-03      -1.415976910484e-06 
   15       8.417176612363e+02       2.475135281185e-03       7.478803868027e-05       9.652257506328e-01       1.235185299436e-07       1.807609884185e-03      -1.653238178206e-06 
   16       8.524472454775e+02       2.734040884862e-03       8.482264490291e-05       1.026652555235e+00       1.258249652907e-07       1.744745047384e-03      -1.472888873111e-06 
   17       8.635368965488e+02       3.105463056397e-03       9.549781591970e-05       1.087728039672e+00       1.278883144806e-07       1.686638336389e-03      -1.037614520480e-06 
   18       8.753677126774e+02       3.631592231937e-03       1.068151279212e-04       1.150476301556e+00       1.296829016930e-07       1.627500340028e-03      -5.600373765792e-07 
   19       8.880549791359e+02       4.316588234673e-03       1.187760807226e-04       1.216356154049e+00       1.313754441394e-07       1.570083782206e-03      -1.830514078278e-07 
   20       9.010769149060e+02       5.147024681987e-03       1.313820773779e-04       1.286296504466e+00       1.328292621039e-07       1.517493919286e-03      -2.775355969154e-08 
   21       9.145414581200e+02       6.117389035527e-03       1.446344419514e-04       1.360184660661e+00       1.341329836635e-07       1.470526414650e-03      -1.040803456275e-07 
   22       9.285160678177e+02       7.222607015101e-03       1.585343971991e-04       1.436940869493e+00       1.352599025903e-07       1.426421792499e-03      -3.459511358839e-07 
   23       9.429156754353e+02       8.464426697687e-03       1.730830929092e-04       1.513947222214e+00       1.362807419126e-07       1.384143182761e-03      -6.671671094930e-07 
   24       9.574835282115e+02       9.845160196750e-03       1.882815831906e-04       1.587764262465e+00       1.371474332060e-07       1.341980750485e-03      -9.538196232666e-07 
   25       9.723612900875e+02       1.136446933267e-02       2.041308672514e-04       1.656144468759e+00       1.379148433725e-07       1.301353045485e-03      -1.137402469542e-06 
   26       9.876807124010e+02       1.302297542659e-02       2.206318619884e-04       1.717259473016e+00       1.385607760585e-07       1.263799582118e-03      -1.172384286659e-06 
   27       1.003358955740e+03       1.483550071254e-02       2.377854412921e-04       1.770408329047e+00       1.391125309566e-07       1.229088445117e-03      -1.079198901056e-06 
   28       1.019187685263e+03       1.682126601929e-02       2.555924173508e-04       1.815448593800e+00       1.395340085843e-07       1.195646311093e-03      -9.148904773436e-07 
   29       1.035218159545e+03       1.899156564548e-02       2.740536052017e-04       1.852834813739e+00       1.398988867518e-07       1.163644641763e-03      -7.285931828987e-07 
   30       1.051503142322e+03       2.135527509276e-02       2.931697688163e-04       1.883474988720e+00       1.402275349558e-07       1.133120090264e-03      -5.823452203546e-07 
   31       1.068018483361e+03       2.392073738587e-02       3.129416210425e-04       1.908313692265e+00       1.404390650132e-07       1.103441016728e-03      -5.420875055461e-07 
   32       1.084781054623e+03       2.669438593583e-02       3.333699056801e-04       1.927040678866e+00       1.405785039977e-07       1.074927680231e-03      -6.026071637546e-07 
   33       1.101755209919e+03       2.968149260736e-02       3.544553445108e-04       1.938893749758e+00       1.406745133053e-07       1.047793089809e-03      -7.221085850004e-07 
   34       1.118861855445e+03       3.288705646068e-02       3.761986276977e-04       1.942981233363e+00       1.406906844259e-07       1.021830094956e-03      -8.471854493506e-07 
   35       1.136153490706e+03       3.631791975119e-02       3.986004554335e-04       1.938284530768e+00       1.406590032720e-07       9.971896711882e-04      -9.514739714724e-07 
   36       1.153688591083e+03       3.998134103419e-02       4.216615117020e-04       1.923636859599e+00       1.405861773524e-07       9.738021529162e-04      -1.013215482402e-06 
   37       1.171486390085e+03       4.388416527780e-02       4.453824509628e-04       1.897958134593e+00       1.404327712790e-07       9.513059286743e-04      -1.012525516281e-06 
   38       1.189549320455e+03       4.803193891723e-02       4.697638873841e-04       1.861102757521e+00       1.402372681438e-07       9.298268781337e-04      -9.580360055074e-07 
